,Rolling_average_correlation
1995-03-09,0.019498803164438527
1995-03-10,0.01893897194752811
1995-03-13,0.01912943216426196
1995-03-14,0.018498064462714608
1995-03-15,0.01806016662584952
1995-03-16,0.018151487802797923
1995-03-17,0.018288917423659526
1995-03-20,0.018206494504592215
1995-03-21,0.017360860692074702
1995-03-22,0.017366934411357903
1995-03-23,0.017043022064974
1995-03-24,0.017699695059998796
1995-03-27,0.018057935484335125
1995-03-28,0.017964996006239208
1995-03-29,0.01818974301151671
1995-03-30,0.018174065754799757
1995-03-31,0.016690187518160052
1995-04-03,0.016877017976725615
1995-04-04,0.018321445035611526
1995-04-07,0.018277966384349732
1995-04-10,0.016975291290375102
1995-04-11,0.017188106528363927
1995-04-12,0.017041852892899015
1995-04-13,0.016205697939129186
1995-04-19,0.0165060193865588
1995-04-20,0.016713608877236857
1995-04-21,0.01620025778826856
1995-04-24,0.016137821537634975
1995-04-25,0.015854220791954726
1995-04-26,0.016278801471357997
1995-04-27,0.01094075570502931
1995-04-28,0.010686573704525845
1995-05-03,0.010810803788039227
1995-05-04,0.01067996390029124
1995-05-05,0.010723464284309337
1995-05-10,0.011248330706483064
1995-05-11,0.011016112038421096
1995-05-12,0.011288313740187704
1995-05-15,0.008833146261353274
1995-05-16,0.009068901268312491
1995-05-17,0.00932856974017668
1995-05-18,0.010318651729611194
1995-05-19,0.008834912979420588
1995-05-22,0.00889214143092035
1995-05-23,0.00973356296844673
1995-05-24,0.009824236313784224
1995-05-31,0.010364454787114771
1995-06-01,0.010564614915436385
1995-06-07,0.010435104914916655
1995-06-08,0.01131654657202666
1995-06-09,0.010366570914552828
1995-06-12,0.010588218217621702
1995-06-13,0.010610427819666464
1995-06-14,0.010954594378362291
1995-06-21,0.011416686535905761
1995-06-22,0.011773942547703033
1995-06-23,0.01205890232036162
1995-06-26,0.011226342600225795
1995-06-27,0.010907669548604325
1995-06-28,0.010636943827007625
1995-06-29,0.009990294642401525
1995-06-30,0.010387149243098939
1995-07-06,0.00944160624815542
1995-07-07,0.01222016833050807
1995-07-10,0.012293743741614032
1995-07-11,0.012249197950752615
1995-07-12,0.013089301441722353
1995-07-13,0.013254220811821472
1995-07-14,0.013235840826851938
1995-07-17,0.013496492747040914
1995-07-18,0.013687028135632094
1995-07-19,0.01698705576506178
1995-07-20,0.015354386966859434
1995-07-25,0.015468692016066318
1995-07-26,0.016281331799949516
1995-07-27,0.016161807168584886
1995-07-28,0.015366378976613878
1995-07-31,0.015563403284430026
1995-08-03,0.01599111301819348
1995-08-04,0.015984490904942954
1995-08-07,0.016245989121064685
1995-08-08,0.017351691484066515
1995-08-09,0.015925954005463035
1995-08-10,0.0155282922659512
1995-08-11,0.01571437300579373
1995-08-14,0.015711930356580656
1995-08-15,0.015881394015112682
1995-08-16,0.015833222343573733
1995-08-17,0.015843263612544328
1995-08-18,0.015719224142192456
1995-08-21,0.015490585715087133
1995-08-22,0.015518147873345477
1995-08-23,0.015475787395759317
1995-08-24,0.015470810833861993
1995-08-25,0.014606294294916385
1995-08-30,0.013881647849142262
1995-08-31,0.01368988773683613
1995-09-01,0.013808703740504828
1995-09-06,0.013741818474747716
1995-09-07,0.013818910817198996
1995-09-08,0.01444818381762516
1995-09-11,0.01521378993888201
1995-09-12,0.014579029179125128
1995-09-13,0.014956002957388376
1995-09-14,0.01578583139883279
1995-09-15,0.015057585129178083
1995-09-18,0.014292813901672748
1995-09-19,0.014881352209015838
1995-09-20,0.015529127008862555
1995-09-21,0.018221896849938312
1995-09-22,0.01772432032307447
1995-09-25,0.01757685087111879
1995-09-26,0.017437149140815605
1995-09-27,0.017233765425506444
1995-09-28,0.017508445484453312
1995-09-29,0.01796560098649329
1995-10-05,0.018381807359666373
1995-10-06,0.018194828070852563
1995-10-11,0.018156356840766285
1995-10-12,0.018249223374038417
1995-10-13,0.019009438821466655
1995-10-16,0.019268103152941654
1995-10-17,0.019401934478694326
1995-10-18,0.019359892861760278
1995-10-19,0.019511803482931238
1995-10-20,0.019621303252879935
1995-10-23,0.021002173465391114
1995-10-24,0.020221802841347263
1995-10-25,0.02046528603135472
1995-10-26,0.020568704943754974
1995-10-27,0.02014877858900689
1995-10-30,0.019719546467018793
1995-10-31,0.019293837287865084
1995-11-03,0.019181093709490532
1995-11-06,0.019903437333976176
1995-11-07,0.019555468708818458
1995-11-08,0.019557059726889467
1995-11-09,0.019198072647045154
1995-11-10,0.019330068382321042
1995-11-13,0.01832875418215006
1995-11-14,0.018542559646296405
1995-11-15,0.018771902253442697
1995-11-16,0.019297569725848698
1995-11-17,0.019892486009667438
1995-11-20,0.018399663788704383
1995-11-28,0.018432571358399524
1995-11-29,0.018868323319191325
1995-11-30,0.018078344233969066
1995-12-01,0.018042441119111578
1995-12-04,0.018293299966878365
1995-12-05,0.018259896293853183
1995-12-06,0.018479007826422963
1995-12-07,0.018635053999964558
1995-12-08,0.017882205616862185
1995-12-11,0.017693527966050643
1995-12-12,0.018052178246654872
1995-12-13,0.018208058461013445
1995-12-14,0.01785288433238149
1995-12-15,0.017787043231871986
1995-12-18,0.018194177016004922
1995-12-19,0.017962296685246175
1995-12-20,0.01735220781625321
1995-12-21,0.01760769863229281
1995-12-22,0.01800569861163493
1995-12-28,0.017932372243684647
1996-01-04,0.018190090328330553
1996-01-05,0.01774029961674197
1996-01-08,0.01772990315575859
1996-01-09,0.01811194538011953
1996-01-10,0.018562121331665245
1996-01-11,0.018150260632983424
1996-01-12,0.01789471717146862
1996-01-17,0.017811734358684165
1996-01-18,0.017703416827370623
1996-01-19,0.018044450319214398
1996-01-22,0.018137821521500563
1996-01-23,0.018732603520731538
1996-01-24,0.0190712021759701
1996-01-25,0.018689747696674277
1996-01-26,0.01815283863904204
1996-01-29,0.0183441959786844
1996-01-30,0.01865231238677941
1996-01-31,0.01965923998408166
1996-02-01,0.02007019671409629
1996-02-02,0.020284103410012133
1996-02-05,0.02012933758317609
1996-02-06,0.02017238572616452
1996-02-07,0.02063168458848973
1996-02-08,0.02062482573123765
1996-02-09,0.020175443473678736
1996-02-12,0.01962592836823807
1996-02-13,0.01898205507935091
1996-02-14,0.01593521594770281
1996-02-15,0.016045652471371144
1996-02-16,0.016187928450435287
1996-02-23,0.01561134499910341
1996-02-26,0.014463523478735101
1996-02-27,0.014059546039808817
1996-02-28,0.013640064814923416
1996-02-29,0.013727120235944145
1996-03-01,0.013563767136386138
1996-03-04,0.013615700279156063
1996-03-05,0.012964922111038509
1996-03-06,0.012619794218423876
1996-03-07,0.010729437201419958
1996-03-08,0.009889469852606712
1996-03-11,0.009183298237278953
1996-03-12,0.008989920695051435
1996-03-13,0.008710163046971468
1996-03-14,0.00904654459654628
1996-03-15,0.008771419430027202
1996-03-18,0.010552912424805029
1996-03-19,0.010952288540639333
1996-03-20,0.011678176141502235
1996-03-21,0.010725263452088775
1996-03-22,0.010960977152130019
1996-03-25,0.01062699871903651
1996-03-26,0.009826800325998433
1996-03-27,0.01068684280489323
1996-03-28,0.011828329872225412
1996-03-29,0.011928891451124605
1996-04-02,0.012199614300918446
1996-04-03,0.012328049972130677
1996-04-10,0.011410357073979303
1996-04-11,0.010775410682735223
1996-04-12,0.007821988422634252
1996-04-15,0.008235253710738593
1996-04-16,0.008276691514942494
1996-04-17,0.008103076061521641
1996-04-18,0.008051823199043262
1996-04-19,0.008494011493065336
1996-04-22,0.008048912767469961
1996-04-23,0.008169403824064982
